gene_id,counts,sample,quality,length,geneFlag,xFlag,jobFlag
ENSG00000279928,2,SRR31476646,28,47,0,1,19023445
ENSG00000228037,2,SRR31476646,28,47,0,1,19023445
ENSG00000142611,4,SRR31476646,28,47,0,1,19023445
ENSG00000284616,1,SRR31476646,28,47,0,1,19023445
ENSG00000157911,355,SRR31476646,28,47,0,1,19023445
ENSG00000269896,15,SRR31476646,28,47,0,1,19023445
ENSG00000228463,276,SRR31476646,28,47,0,1,19023445
ENSG00000260972,0,SRR31476646,28,47,0,1,19023445
ENSG00000224340,0,SRR31476646,28,47,0,1,19023445
ENSG00000226374,0,SRR31476646,28,47,0,1,19023445
ENSG00000229280,1,SRR31476646,28,47,0,1,19023445
ENSG00000142655,439,SRR31476646,28,47,0,1,19023445
ENSG00000232596,0,SRR31476646,28,47,0,1,19023445
ENSG00000235054,0,SRR31476646,28,47,0,1,19023445
ENSG00000231510,0,SRR31476646,28,47,0,1,19023445
ENSG00000149527,3,SRR31476646,28,47,0,1,19023445
ENSG00000284739,0,SRR31476646,28,47,0,1,19023445
ENSG00000171621,622,SRR31476646,28,47,0,1,19023445
ENSG00000272235,4,SRR31476646,28,47,0,1,19023445
ENSG00000284694,0,SRR31476646,28,47,0,1,19023445
ENSG00000224387,0,SRR31476646,28,47,0,1,19023445
ENSG00000142583,21,SRR31476646,28,47,0,1,19023445
ENSG00000284674,0,SRR31476646,28,47,0,1,19023445
ENSG00000224338,0,SRR31476646,28,47,0,1,19023445
ENSG00000287727,0,SRR31476646,28,47,0,1,19023445
ENSG00000286448,6,SRR31476646,28,47,0,1,19023445
ENSG00000284703,0,SRR31476646,28,47,0,1,19023445
ENSG00000226457,264,SRR31476646,28,47,0,1,19023445
ENSG00000173614,572,SRR31476646,28,47,0,1,19023445
ENSG00000215720,0,SRR31476646,28,47,0,1,19023445
ENSG00000241326,55,SRR31476646,28,47,0,1,19023445
ENSG00000233623,0,SRR31476646,28,47,0,1,19023445
ENSG00000162592,17,SRR31476646,28,47,0,1,19023445
ENSG00000204624,0,SRR31476646,28,47,0,1,19023445
ENSG00000142606,43,SRR31476646,28,47,0,1,19023445
ENSG00000225931,1,SRR31476646,28,47,0,1,19023445
ENSG00000171729,467,SRR31476646,28,47,0,1,19023445
ENSG00000279457,658,SRR31476646,28,47,0,1,19023445
ENSG00000229393,0,SRR31476646,28,47,0,1,19023445
ENSG00000037637,590,SRR31476646,28,47,0,1,19023445
ENSG00000287586,3,SRR31476646,28,47,0,1,19023445
ENSG00000159423,355,SRR31476646,28,47,0,1,19023445
ENSG00000227169,0,SRR31476646,28,47,0,1,19023445
ENSG00000283356,0,SRR31476646,28,47,0,1,19023445
ENSG00000157916,1364,SRR31476646,28,47,0,1,19023445
ENSG00000157881,194,SRR31476646,28,47,0,1,19023445
ENSG00000238290,0,SRR31476646,28,47,0,1,19023445
ENSG00000225387,0,SRR31476646,28,47,0,1,19023445
ENSG00000048707,562,SRR31476646,28,47,0,1,19023445
ENSG00000225196,0,SRR31476646,28,47,0,1,19023445
ENSG00000162444,87,SRR31476646,28,47,0,1,19023445
ENSG00000279625,0,SRR31476646,28,47,0,1,19023445
ENSG00000180758,235,SRR31476646,28,47,0,1,19023445
ENSG00000184677,501,SRR31476646,28,47,0,1,19023445
ENSG00000288398,49,SRR31476646,28,47,0,1,19023445
ENSG00000224621,1,SRR31476646,28,47,0,1,19023445
ENSG00000285833,0,SRR31476646,28,47,0,1,19023445
ENSG00000131697,174,SRR31476646,28,47,0,1,19023445
ENSG00000284692,0,SRR31476646,28,47,0,1,19023445
ENSG00000284745,0,SRR31476646,28,47,0,1,19023445
ENSG00000280222,0,SRR31476646,28,47,0,1,19023445
ENSG00000285945,0,SRR31476646,28,47,0,1,19023445
ENSG00000197921,0,SRR31476646,28,47,0,1,19023445
ENSG00000233755,0,SRR31476646,28,47,0,1,19023445
ENSG00000233929,285,SRR31476646,28,47,0,1,19023445
ENSG00000234166,26,SRR31476646,28,47,0,1,19023445
ENSG00000235282,0,SRR31476646,28,47,0,1,19023445
ENSG00000055070,3706,SRR31476646,28,47,0,1,19023445
ENSG00000175087,310,SRR31476646,28,47,0,1,19023445
ENSG00000230035,0,SRR31476646,28,47,0,1,19023445
ENSG00000225643,5,SRR31476646,28,47,0,1,19023445
ENSG00000284666,0,SRR31476646,28,47,0,1,19023445
ENSG00000228943,0,SRR31476646,28,47,0,1,19023445
ENSG00000234397,1039,SRR31476646,28,47,0,1,19023445
ENSG00000284309,0,SRR31476646,28,47,0,1,19023445
ENSG00000162511,37,SRR31476646,28,47,0,1,19023445
ENSG00000158014,11,SRR31476646,28,47,0,1,19023445
ENSG00000204138,1636,SRR31476646,28,47,0,1,19023445
ENSG00000233419,0,SRR31476646,28,47,0,1,19023445
ENSG00000235263,0,SRR31476646,28,47,0,1,19023445
ENSG00000228176,0,SRR31476646,28,47,0,1,19023445
ENSG00000231251,0,SRR31476646,28,47,0,1,19023445
ENSG00000142675,238,SRR31476646,28,47,0,1,19023445
ENSG00000197245,21,SRR31476646,28,47,0,1,19023445
ENSG00000130772,652,SRR31476646,28,47,0,1,19023445
ENSG00000215899,1607,SRR31476646,28,47,0,1,19023445
ENSG00000271398,0,SRR31476646,28,47,0,1,19023445
